series-id,term-id,number-of-lectures
ls1,ls1_t1,6
ls1,ls1_t2,6
ls3,ls3_t1,4
ls3,ls3_t2,5
ls3,ls3_t3,6
ls3,ls3_t4,6
ls3,ls3_t5,8
ls3,ls3_t6,5
ls3,ls3_t7,5
ls3,ls3_t8,5
ls3,ls3_t9,4
ls3,ls3_t10,4
ls3,ls3_t11,5
ls3,ls3_t12,4
ls4,ls4_t1,4
ls4,ls4_t2,4
ls5,ls5_t1,5
ls6,ls6_t1,10
ls8,ls8_t1,11
ls8,ls8_t2,10
ls8,ls8_t3,11
ls8,ls8_t4,12
ls8,ls8_t5,11
ls8,ls8_t6,9
ls8,ls8_t7,11
ls8,ls8_t8,11
ls8,ls8_t9,9
ls8,ls8_t10,9
ls9,ls9_t1,13
ls9,ls9_t2,14
ls9,ls9_t3,11
ls9,ls9_t4,14
ls9,ls9_t5,12
ls9,ls9_t6,14
ls9,ls9_t7,12
ls10,ls10_t1,10
ls10,ls10_t2,11
ls10,ls10_t3,11
ls10,ls10_t4,12
ls11,ls11_t1,13
ls11,ls11_t2,13
ls11,ls11_t3,15
ls12,ls12_t1,6
ls12,ls12_t2,10
ls12,ls12_t3,11
ls12,ls12_t4,5
ls12,ls12_t5,8
ls12,ls12_t6,6
ls12,ls12_t7,9
ls12,ls12_t8,8
ls13,ls13_t1,8
ls13,ls13_t2,6
ls13,ls13_t3,8
ls13,ls13_t4,5
ls13,ls13_t5,7
ls13,ls13_t6,3
ls13,ls13_t7,8
ls14,ls14_t1,11
ls15,ls15_t1,14
ls15,ls15_t2,15
ls15,ls15_t3,11
ls15,ls15_t4,13
ls15,ls15_t5,14
ls16,ls16_t1,9
ls16,ls16_t2,11
ls17,ls17_t1,2
ls17,ls17_t2,3
ls17,ls17_t3,1
ls17,ls17_t4,2
ls17,ls17_t5,2
ls17,ls17_t6,5
ls18,ls18_t1,10
ls19,ls19_t1,3
ls20,ls20_t1,6
ls21,ls21_t1,2
ls21,ls21_t2,4
ls22,ls22_t1,3
ls22,ls22_t2,4
ls22,ls22_t3,12
ls22,ls22_t4,10
ls22,ls22_t5,11
ls22,ls22_t6,13
ls23,ls23_t1,4
ls23,ls23_t2,3
ls23,ls23_t3,3
ls23,ls23_t4,2
ls23,ls23_t5,2
ls23,ls23_t6,2
ls23,ls23_t7,4
ls23,ls23_t8,4
ls23,ls23_t9,3
ls23,ls23_t10,3
ls24,ls24_t1,8
ls24,ls24_t2,10
ls24,ls24_t3,9
ls24,ls24_t4,6
ls24,ls24_t5,8
ls25,ls25_t1,3
ls25,ls25_t2,3
ls25,ls25_t3,3
ls25,ls25_t4,4
ls27,ls27_t1,6
ls29,ls29_t1,1
ls29,ls29_t2,3
ls29,ls29_t3,2
ls30,ls30_t1,3
ls31,ls31_t1,5
ls33,ls33_t1,8
ls33,ls33_t2,7
ls33,ls33_t3,6
ls33,ls33_t4,4
ls33,ls33_t5,2
ls33,ls33_t6,7
ls33,ls33_t7,4
ls33,ls33_t8,1
ls34,ls34_t1,3