Person ID	First Name	Last Name	Sex	Year	Institution
sperberg-mc-queen_michael	Michael	Sperberg-McQueen		2020	black-mesa-technologies
bloomfield_camille	Camille	Bloomfield		2023	uni-paris-cite
tadier_elsa	Elsa	Tadier		2023	uni-paris-cite
ysebaert_ronan	Ronan	Ysebaert		2023	uni-paris-cite
flipo_fabrice	Fabrice	Flipo		2023	uni-paris-cite
ritz_olivier	Olivier	Ritz		2022	uni-paris-cite
stoehr_thierry	Thierry	Stœhr		2022	uni-paris-cite
poulain_pierre	Pierre	Poulain		2022	uni-paris-cite
goerres_daniel	Daniel	Görres		2024	fh-koeln
klusik-eckert_jacqueline	Jacqueline	Klusik-Eckert		2023	uni-duesseldorf
timpf_sabine	Sabine	Timpf		2023	uni-augsburg
pfeifer_michelle	Michelle	Pfeifer		2023	uni-dresden
ehrl_franziska	Franziska	Ehrl		2023	library-uni-heidelberg
hiltmann_torsten	Torsten	Hiltmann		2022	uni-hu-berlin
goldhahn_dirk	Dirk	Goldhahn		2022	adw-leipzig
naether_franziska	Claudia	Bamberg		2022	adw-leipzig
bamberg_claudia	Claudia	Bamberg		2022	uni-trier
keupp_jan	Jan	Keupp		2022	uni-muenster
carlson_rebecca	Rebecca	Carlson		2023	uni-toyo
fortun_mike	Mike	Fortun		2023	uni-california
moreno-almeida_cristina	Cristina	Moreno Almeida		2022	uni-london-queen-mary
porter_james-david	James David	Porter		2025	uni-pennsylvania
konle_leonard	Leonard	Konle		2025	uni-wuerzburg
chonka_peter	Peter	Chonka		2022	uni-london-kcl
mathew_ashwin	Ashvin	Mathew		2022	uni-london-kcl
zaborowski_rafal	Rafal	Zaborowski		2022	uni-london-kcl
cheong_niki	Niki	Cheong		2022	uni-london-kcl
gibson_laura	Laura	Gibson		2022	uni-london-kcl
oreglia_elisa	Elisa	Oreglia		2022	uni-london-kcl
brenner_leon	Leon	Brenner		2025	uni-bochum uni-iu-berlin
everitt_katherine	Katherine	Everitt		2025	self-employment
dawson_john	John	Dawson		2024	uni-cambridge
holobut_agata	Agata	Hołobut		2024	uni-jagiellonski
rybicki_jan	Jan	Rybicki		2024	uni-jagiellonski
manovich_lev	Lev	Manovich		2024	uni-new-york
sobchuk_oleg	Oleg	Sobchuk		2024	mpi-eva
jacqueline_anne	Anne	Jacqueline		2016	self-employment
bocciolesi_enrico	Enrico	Bocciolesi		2016	uni-e-campus
del-grosso_angelo-mario	Angelo Mario	Del Grosso		2016	cnr
lame_marion	Marion	Lamé		2015	cnr
lame_marion	Marion	Lamé		2016	uni-pisa
caputo_marina	Marina	Caputo		2016	uni-perugia
stella_francesco	Francesco	Stella		2016	uni-siena
bianchi_alessandra	Alessandra	Bianchi		2016	uni-bergamo
cei_enzo	Enzo	Cei		2016	self-employment
guarasci_roberto	Roberto	Guarasci		2016	uni-calabria
spugnesi_giorgio	Giorgio	Spugnesi		2016	uni-pisa
d-ambra_dario	Dario	D’Ambra		2016	fh-koeln
feliciati_pierluigi	Pierluigi	Feliciati		2015	uni-macerata
pagliarini_enrico	Enrico	Pagliarini		2015	radio-24
pinna_gabriela-maria	Gabriela Maria	Pinna		2015	cnr
frontini_francesca	Francesca	Frontini		2015	cnr
muggittu_vincenzo	Vincenzo	Muggittu		2015	liceo-classico-galileo-galilei
testa_simone	Simone	Testa		2015	eui
de-santis_dario	Dario	De Santis		2015	uni-milano-bicocca
potenziani_marco	Marco	Potenziani		2017	cnr
tomasi_lorenzo	Lorenzo	Tomasi		2017	uni-lausanne
lo-duca_angelica	Angelica	Lo Duca		2017	cnr
traverso_ilaria	Ilaria	Traverso		2017	uni-madrid-autonoma
viazzi_federica	Federica	Viazzi		2017	library-beic
battaner-moro_elena	Elena	Battaner Moro		2024	uni-rey-juan-carlos
bia-platas_alejandro	Alejandro	Bia Platas		2020	uni-miguel-hernandez
jakacki_diane	Diane	Jakacki		2020	uni-bucknell
wrisley_david	David	Wrisley		2021	uni-abu-dhabi-ny
arnold_denis	Denis	Arnold		2021	ids
fisseni_bernhard	Bernhard	Fisseni		2021	ids
tilton_lauren	Lauren	Tilton		2021	uni-richmond
chiodo_carol	Carol	Chiodo		2021	library-uni-harvard
ciotti_fabio	Fabio	Ciotti		2018	uni-roma-tor-vergata
ciotti_fabio	Fabio	Ciotti		2025	uni-roma-tor-vergata
krefeld_thomas	Thomas	Krefeld		2018	uni-muenchen
goebl_hans	Hans	Goebl		2018	uni-salzburg
odebrecht_carolin	Carolin	Odebrecht		2015	uni-hu-berlin
garcia-fernandez_anne	Anne	Garcia-Fernandez		2022	uni-grenoble-alpes
bohnert_celine	Céline	Bohnert		2022	uni-reims iuf
saint-raymond_lea	Léa	Saint-Raymond		2022	uni-paris-pantheon-sorbonne
reach-ngo_anne	Anne	Réach-Ngô		2022	uni-haute-alsace iuf
balmon_theodora	Théodora	Balmon		2022	library-uni-corse
piazza_linda	Linda	Piazza		2022	library-tommaso-trela
gherardi_eugene	Eugène	Gherardi		2021	uni-corse
nussbaumer_lisa	Lisa	Nußbaumer		2023	uni-wien
linser_nora	Nora	Linser		2023	uni-wien
ensslin_astrid	Astrid	Ensslin		2024	uni-regensburg
diecke_josephine	Josephine	Diecke		2024	uni-zuerich
kleymann_rabea	Svenja	Guhr		2024	uni-chemnitz
guhr_svenja	Svenja	Guhr		2024	uni-darmstadt
guhr_svenja	Svenja	Guhr		2025	uni-darmstadt
spoerer_mark	Mark	Spoerer		2024	uni-regensburg
fritz_larissa	Larissa	Fritz		2024	uni-stuttgart
afanador_maria-jose	Maria José	Afanador		2024	uni-andes
himmel_torsten	Torsten	Himel		2015	uni-stuttgart
himmel_torsten	Torsten	Himel		2016	uni-stuttgart
lehmann_christian	Christian	Lehmann		2015	uni-stuttgart
braun_manuel	Manuel	Braun		2015	uni-stuttgart
braun_manuel	Manuel	Braun		2016	uni-stuttgart
kuhn_jonas	Jonas	Kuhn		2015	uni-stuttgart
holtz_sabine	Sabine	Holtz		2015	uni-stuttgart
haka_andreas	Andreas	Haka		2015	uni-stuttgart
haka_andreas	Andreas	Haka		2017	uni-stuttgart
leymann_frank	Frank	Leymann		2015	uni-stuttgart
barzen_johanna	Johanna	Barzen		2015	uni-koeln
barzen_johanna	Johanna	Barzen		2024	uni-stuttgart
hentschel_klaus	Klaus	Hentschel		2015	uni-stuttgart
hentschel_klaus	Klaus	Hentschel		2016	uni-stuttgart
krueger_reinhard	Reinhard	Krüger		2015	uni-stuttgart
krueger_reinhard	Reinhard	Krüger		2017	uni-stuttgart
nickel_beatrice	Beatrice	Nickel		2015	uni-stuttgart
nickel_beatrice	Beatrice	Nickel		2017	uni-stuttgart
stein_achim	Achim	Stein		2015	uni-stuttgart
trips_carola	Carola	Trips		2015	uni-mannheim
priewe_marc	Marc	Priewe		2015	uni-stuttgart
priewe_marc	Marc	Priewe		2016	uni-stuttgart
priewe_marc	Marc	Priewe		2018	uni-stuttgart
wendel_klaus	Klaus	Wendel		2016	uni-stuttgart
pado_sebastian	Sebastian	Padó		2024	uni-stuttgart
falk_neele	Neele	Falk		2025	uni-stuttgart
bogdanovic_arsenije	Arsenije	Bogdanović		2025	uni-stuttgart
pichler_axel	Axel	Pichler		2025	uni-stuttgart
scholz_peter	Peter	Scholz		2016	uni-stuttgart
koch_steffen	Steffen	Koch		2016	uni-stuttgart
john_markus	Markus	John		2016	uni-stuttgart
john_markus	Markus	John		2018	uni-stuttgart
willand_marcus	Marcus	Willand		2017	uni-stuttgart
bross_fabian	Fabian	Bross		2017	uni-stuttgart
mersiowsky_mark	Mark	Gerstorfer		2017	uni-stuttgart
gerstorfer_dominik	Dominik	Gerstorfer		2016	uni-stuttgart
gerstorfer_dominik	Dominik	Gerstorfer		2019	uni-stuttgart
rainsford_thomas	Thomas	Rainsford		2016	uni-stuttgart
bernhart_toni	Toni	Bernhart		2016	uni-stuttgart
bernhart_toni	Toni	Bernhart		2019	uni-stuttgart
echelmeyer_nora	Nora	Echelmeyer		2016	uni-stuttgart
pernes_stefan	Stefan	Pernes		2016	uni-wuerzburg
knopp_hartmut	Hartmut	Knopp		2018	uni-stuttgart
rapp_andrea	Andrea	Rapp		2018	uni-darmstadt
kaminski_andreas	Andreas	Kaminski		2018	uni-stuttgart
heckelen_malte	Malte	Heckelen		2018	uni-stuttgart
heckelen_malte	Malte	Heckelen		2019	uni-stuttgart
keck_jana	Jana	Keck		2018	uni-stuttgart
keck_jana	Jana	Keck		2020	uni-salzburg
kramski_heinz-werner	Heinz Werner	Kramski		2018	archive-dla-marbach
maennig_maria	Maria	Männig		2018	uni-marburg
schmidt_johannes	Johannes	Schmidt		2019	uni-bielefeld
draude_claude	Claude	Draude		2019	uni-kassel
mengaldo_elisabetta	Elisabetta	Mengaldo		2019	uni-padova
tumanov_rostislav	Rostislav	Tumanov		2019	uni-stuttgart
calvo-tello_jose	José	Calvo Tello		2019	uni-wuerzburg
heiberger_raphael	Raphael	Heiberger		2019	uni-stuttgart
zeppezauer-wachauer_katharina	Katharina	Zeppezauer-Wachauer		2020	uni-salzburg
hinkelmanns_peter	Peter	Hinkelmanns		2020	uni-salzburg
hadersbeck_maximiliam	Maximiliam	Hadersbeck		2020	uni-muenchen
ostberg_jan-peter	Jan-Peter	Ostberg		2017	uni-stuttgart
breitenbuecher_uwe	Uwe	Breitenbücher		2017	uni-stuttgart
reimann_peter	Peter	Reimann		2017	uni-stuttgart
fett_daniel	Daniel	Fett		2017	uni-stuttgart
lischke_lars	Lars	Lischke		2017	uni-stuttgart
duerr_frank	Frank	Dürr		2017	uni-stuttgart
kopp_oliver	Oliver	Kopp		2017	uni-stuttgart
wieland_matthias	Matthias	Wieland		2018	uni-stuttgart
palumbo_valeria	Valeria	Palumbo		2021	rcs-media-group
caselli_stefano	Stefano	Caselli		2021	uni-malta
bonera_matteo	Matteo	Bonera		2021	the-visual-agency uni-milano-politecnico
diamante_gugliemo	Guglielmo	Diamante		2021	de-vulgare
fantini_niccolo	Niccolò	Fantini		2021	de-vulgare
cesaro_laura	Laura	Cesaro		2021	sirius-game
tavosanis_mirko	Mirko	Tavosanis		2021	uni-pisa
gnoli_claudio	Claudio Tommaso	Gnoli		2015	uni-pavia
roncaglia_gino	Gino	Roncaglia		2015	uni-tuscia
mastandrea_paolo	Paolo	Mastandrea		2015	uni-venezia
marzi_claudia	Claudia	Marzi		2015	cnr
nahli_ouafae	Ouafae	Nahli		2015	cnr
pirrelli_vito	Vito	Pirrelli		2015	cnr
banterle_francesco	Francesco	Banterle		2015	cnr
brunelli_antonella	Antonella	Brunelli		2015	uni-bologna
brigati_roberto	Roberto	Brigati		2015	uni-bologna
barbuti_roberto	Roberto	Barbuti		2015	uni-pisa
meschini_federico	Federico	Meschini		2015	uni-tuscia
evensen_nina-marie	Nina Marie	Evensen		2021	uni-oslo
martin-rodilla_patricia	Patricia	Martin-Rodilla		2018	uni-santiago-de-compostela
stead_steve	Steve	Stead		2018	self-employment
grana-behrens_daniel	Daniel	Graña-Behrens		2018	uni-bonn
perry_sara	Sara	Perry		2018	uni-york
wickeroth_daniel	Daniel	Wickeroth		2018	uni-koeln
tambs_lena	Lena	Tambs		2018	uni-koeln
herzog_irmela	Irmela	Herzog		2018	abr
vaupotic_ales	Aleš	Vaupotič		2018	uni-novi-gorici
marras_cristina	Cristina	Marras		2018	cnr
cuy_sebastian	Sebastian	Cuy		2018	dai
keith_allison	Allison	Keith		2025	uni-stuttgart
scholger_martina	Martina	Scholger		2025	uni-graz
nilsson-fernandez_pedro	Pedro	Nilsson-Fernàndez		2025	uni-cork
rio-riande_gimena-del	Gimena	del Rio Riande		2025	conicet
tomic_marijana	Marijana	Tomić		2025	uni-zadar
franken_lina	Lina	Franken		2025	uni-vechta
franken_lina	Lina	Franken		2023	uni-vechta
greinert_cordula	Cordula	Greinert		2025	uni-rostock
giovannini_luca	Luca	Giovannini		2025	uni-potsdam
fischer_hanna	Hanna	Fischer		2025	uni-rostock
verhoeven_deb	Deb	Verhoeven		2025	uni-alberta
mannari_chiara	Chiara	Mannari		2021	uni-pisa
passarotti_marco	Marco	Passarotti		2021	uni-cattolica-milano
metilli_daniele	Daniele	Metilli		2021	cnr uni-pisa
metilli_daniele	Daniele	Metilli		2024	uni-guelph
gargano_giovanna	Giovanna	Gargano		2021	tourism-world-summit
tambassi_timothy	Timothy	Tambassi		2015	uni-piemonte-orientale
tambassi_timothy	Timothy	Tambassi		2021	uni-salerno
salerno_giuseppe	Giuseppe	Salerno		2021	uni-salerno
d-urso_raffaella	Raffaella	D'Urso		2021	uni-salerno
bisogno_gianmarco	Gianmarco	Bisogno		2021	uni-salerno
longo_alessandro	Alessandro	Longo		2021	self-employment
hageneuer_sebastian	Sebastian	Hageneuer		2021	uni-koeln
sabatini_marina	Marina	Sabatini		2021	uni-pisa
bruni_sara	Sara	Bruni		2021	uni-pisa
gioli_antonella	Antonella	Gioli		2021	uni-pisa
marasescu-galleron_ioana	Ioana	Marasescu-Galleron		2021	uni-paris-sorbonne-nouvelle
sebastiani_fabrizio	Fabrizio	Sebastiani		2021	cnr
tammaro_anna-maria	Anna Maria	Tammaro		2014	uni-parma
genovese_giulia	Giulia	Genovese		2014	websoup
genovese_giulia	Giulia	Genovese		2017	websoup
cignoni_giovanni	Giovanni	Cignoni		2014	uni-pisa
garzella_lorenzo	Lorenzo	Garzella		2014	self-employment
salvatori_nicoletta	Nicoletta	Salvatori		2014	cnr
salvatori_nicoletta	Nicoletta	Salvatori		2015	cnr
salvatori_nicoletta	Nicoletta	Salvatori		2021	uni-pisa
angiolini_andrea	Andrea	Angiolini		2014	pandoracampus
bartalesi_valentina	Valentina	Bartalesi		2014	cnr
bartalesi_valentina	Valentina	Bartalesi		2021	cnr
cano_ricardo	Ricardo	Cano		2021	eve-museos
rubio-campillo_xavier	Javier	Daubagna Ordoño		2021	uni-barcelona
ordono-daubagna_javier	Javier	Daubagna Ordoño		2021	arkikus
horn_michael	Michael	Horn		2021	uni-northwestern
lopez-menchero_victor	Victor	López-Menchero		2020	uni-castilla-la-mancha
collell_xevi	Xevi	Collell		2020	uni-girona
melero-rus_francisco-javier	Francisco Javier	Melero Rus		2020	uni-granada
marquis_nestor	Néstor F.	Marqués		2020	self-employment
hernandez-gueell_marc	Marc	Hernández Güell		2020	la-tempesta
gruber_doris	Doris	Gruber		2023	oeaw
high-steskal_nicole	Nicole	High-Steskal		2022	uni-krems
mayer_sandra	Sandra	Mayer		2022	uni-wien
brenner_simon	Simon	Brenner		2022	uni-wien
fruehwirth_timo	Timo	Frühwirth		2022	uni-wien
moerth_karlheinz	Karlheinz	Mörth		2020	oeaw
trinks_immo	Immo	Trinks		2020	uni-wien
trinks_immo	Immo	Trinks		2022	uni-wien
koentges_thomas	Thomas	Köntges		2020	uni-leipzig
zuanni_chiara	Chiara	Zuanni		2020	uni-graz
zuanni_chiara	Chiara	Zuanni		2022	uni-graz
eichert_stefan	Stefan	Eichert		2021	uni-wien
prager_katharina	Katharina	Prager		2021	uni-wien
frasca-rath_anna	Anna	Frasca-Rath		2021	uni-wien
schlesinger_claus-michael	Claus-Michael	Schlesinger		2019	uni-wuerzburg
viehhauser_gabriel	Gabriel	Viehhauser		2015	uni-stuttgart
viehhauser_gabriel	Gabriel	Viehhauser		2016	uni-stuttgart
viehhauser_gabriel	Gabriel	Viehhauser		2019	uni-stuttgart
bockwinkel_peggy	Peggy	Bockwinkel		2016	uni-stuttgart
bockwinkel_peggy	Peggy	Bockwinkel		2019	uni-stuttgart
luzi_christophe	Christophe	Luzi		2022	uni-corse cnr
walter_richard	Richard	Walter		2021	cnrs uni-paris-sorbonne-nouvelle
walter_richard	Richard	Walter		2022	cnrs uni-paris-sorbonne-nouvelle
stular_benjamin	Benjamin	Štular		2020	sazu
romanov_maxim	Maxim	Romanov		2020	uni-wien
romanov_maxim	Maxim	Romanov		2022	uni-hamburg
cole_nicholas	Nicholas	Cole		2019	uni-oxford
hannesschlaeger_vanessa	Vanessa	Hannesschläger		2019	oeaw
hannesschlaeger_vanessa	Vanessa	Hannesschläger		2020	oeaw
hannesschlaeger_vanessa	Vanessa	Hannesschläger		2021	uni-wien
hughes_lorna	Lorna	Hughes		2019	uni-glasgow
hughes_lorna	Lorna	Hughes		2020	uni-glasgow
de-sisto_mirella	Mirella	De Sisto		2024	uni-tilburg
cremer_daniel	Daniel	Cremer		2024	uni-duesseldorf
verstegen_ute	Ute	Verstegen		2024	uni-erlangen-nuernberg
schelbert_georg	Georg	Schelbert		2018	uni-hu-berlin
schelbert_georg	Georg	Schelbert		2024	zi-muenchen
li_weixuan	Weixuan	Li		2024	uni-leiden
kurz_susanne	Susanne	Kurz		2024	uni-koeln
ruiz-fabo_pablo	Pablo	Ruiz Fabo		2024	uni-strasbourg
feichtinger_moritz	Moritz	Feichtinger		2024	uni-basel
spadini_elena	Elena	Spadini		2024	uni-basel uni-bern
weilinghof_andreas	Andreas	Weilinghof		2024	uni-koblenz
beisbart_claus	Claus	Beisbart		2024	uni-bern
kapitan_katarzyna-anna	Katarzyna Anna	Kapitan		2024	uni-ecole-des-chartes
bemelmans_sophie	Sophie	Bémelmans		2023	uni-lausanne
rochat_yannick	Yannick	Rochat		2023	uni-lausanne
demleitner_adrian	Adrian	Demleitner		2023	uni-bern
brandenburg_aurelia	Aurelia	Brandenburg		2023	uni-bern
wildi_tobias	Tobias	Wildi		2023	fh-graubuenden
krummenacher_dave	Dave	Krummenacher		2023	uni-lausanne fh-zuerich
hurel_pierre-yves	Pierre-Yves	Hurel		2023	uni-lausanne
maehr_moritz	Moritz	Mähr		2022	uni-bern
gasser_sonja	Sonja	Gasser		2022	skkg
toselli_alejandro-hector	Alejandro Héctor	Toselli		2022	uni-valencia
jobin_anna	Anna	Jobin		2022	hiig
serif_ina	Ina	Serif		2022	uni-basel
jaillant_lise	Lise	Jaillant		2022	uni-loughborough
marthot-santaniello_isabelle	Isabelle	Felsing		2022	uni-basel
felsing_ulrike	Ulrike	Felsing		2022	uni-basel
simi_maria	Maria	Simi		2024	uni-pisa
salvatori_enrica	Enrica	Salvatori		2014	uni-pisa
salvatori_enrica	Enrica	Salvatori		2021	uni-pisa
salvatori_enrica	Enrica	Salvatori		2024	uni-pisa
bassett_caroline	Caroline	Bassett		2021	uni-cambridge
treharne_elaine	Elaine	Treharne		2021	uni-stanford
sanderson_rob	Rob	Sanderson		2021	uni-yale
fornaro_peter	Peter	Fornaro		2022	uni-basel
sutter_pascale	Pascale	Sutter		2021	ssrq
gubler_kaspar	Kaspar	Gubler		2021	uni-bern
abel_stefan	Stefan	Abel		2021	uni-bern
kohler_daniela	Daniela	Kohler		2021	uni-bern
metz_bernhard	Bernhard	Metz		2021	uni-bern
stuber_martin	Martin	Stuber		2021	uni-bern
schmid_jimmy	Jimmy	Schmid		2021	uni-bern
zimmermann_christian-von	Christian	von Zimmermann		2021	uni-bern
reichen_roland	Roland	Reichen		2021	uni-bern
raciti_silvio	Silvio	Raciti		2021	uni-bern
zihlmann_patricia	Patricia	Zihlmann		2021	uni-bern
heinzmann_lukas	Lukas	Heinzmann		2021	uni-bern
schwarz-zanetti_gabriela	Gabriela	Schwarz-Zanetti		2021	uni-bern
fendt_kurt	Kurt	Fendt		2021	mit
nehrlich_thomas	Thomas	Nehrlich		2021	uni-bern
rosenthaler_lukas	Lukas	Rosenthaler		2020	uni-basel
gabay_simon	Simon	Gabay		2022	uni-geneve
gabay_simon	Simon	Gabay		2020	uni-geneve
schneider_christa	Christa	Schneider		2020	uni-bern
grandjean_martin	Martin	Grandjean		2020	uni-lausanne
bell_peter	Peter	Bell		2020	uni-erlangen-nuernberg
schwandt_silke	Silke	Schwandt		2020	uni-bielefeld
feiner_leyla	Leyla	Feiner		2020	uni-zuerich
mcdonald_daniel	Daniel	McDonald		2020	uni-zuerich
dusinberre_martin	Martin	Dusinberre		2020	uni-zuerich
leveghi_davide	Davide	Leveghi		2024	history-lab-magazine
manfredi_alice	Alice	Manfredi		2024	history-lab-magazine
varanini_francesco	Francesco	Varanini		2014	self-employment
varanini_francesco	Francesco	Varanini		2021	self-employment
varanini_francesco	Francesco	Varanini		2024	self-employment
lana_maurizio	Maurizio	Lana		2024	uni-piemonte-orientale
lana_maurizio	Maurizio	Lana		2018	uni-piemonte-orientale
turbanti_simona	Simona	Turbanti		2016	uni-pisa
turbanti_simona	Simona	Turbanti		2017	uni-pisa
turbanti_simona	Simona	Turbanti		2021	uni-pisa
turbanti_simona	Simona	Turbanti		2024	uni-milano
sebastiani_melania	Melania	Sebastiani		2024	fili-di-juta
aiola_chiara	Chiara	Aiola		2021	netseven
aiola_chiara	Chiara	Aiola		2024	uni-pisa
giuffrida_milena	Milena	Giuffrida		2024	uni-catania
puglisi_alessandro	Alessandro	Puglisi		2024	uni-stranieri-di-siena
gorrieri_laura	Laura	Gorrieri		2024	uni-torino
morent_stefan	Stefan	Morent		2023	uni-tuebingen
darilek_marion	Marion	Darilek		2023	uni-tuebingen
