Person ID	Institution	Year
sperberg-mc-queen_michael	black-mesa-technologies	2020
bloomfield_camille	uni-paris-cite	2023
tadier_elsa	uni-paris-cite	2023
ysebaert_ronan	uni-paris-cite	2023
flipo_fabrice	uni-paris-cite	2023
ritz_olivier	uni-paris-cite	2022
stoehr_thierry	uni-paris-cite	2022
poulain_pierre	uni-paris-cite	2022
goerres_daniel	fh-koeln	2024
klusik-eckert_jacqueline	uni-duesseldorf	2023
timpf_sabine	uni-augsburg	2023
pfeifer_michelle	uni-dresden	2023
ehrl_franziska	library-uni-heidelberg	2023
hiltmann_torsten	uni-hu-berlin	2022
goldhahn_dirk	adw-leipzig	2022
naether_franziska	adw-leipzig	2022
bamberg_claudia	uni-trier	2022
keupp_jan	uni-muenster	2022
carlson_rebecca	uni-toyo	2023
fortun_mike	uni-california	2023
moreno-almeida_cristina	uni-london-queen-mary	2022
porter_james-david	uni-pennsylvania	2025
konle_leonard	uni-wuerzburg	2025
chonka_peter	uni-london-kcl	2022
mathew_ashwin	uni-london-kcl	2022
zaborowski_rafal	uni-london-kcl	2022
cheong_niki	uni-london-kcl	2022
gibson_laura	uni-london-kcl	2022
oreglia_elisa	uni-london-kcl	2022
brenner_leon	uni-bochum	2025
brenner_leon	uni-iu-berlin	2025
everitt_katherine	self-employment	2025
dawson_john	uni-cambridge	2024
holobut_agata	uni-jagiellonski	2024
rybicki_jan	uni-jagiellonski	2024
manovich_lev	uni-new-york	2024
sobchuk_oleg	mpi-eva	2024
jacqueline_anne	self-employment	2016
bocciolesi_enrico	uni-e-campus	2016
del-grosso_angelo-mario	cnr	2016
lame_marion	cnr	2015
lame_marion	uni-pisa	2016
caputo_marina	uni-perugia	2016
stella_francesco	uni-siena	2016
bianchi_alessandra	uni-bergamo	2016
cei_enzo	self-employment	2016
guarasci_roberto	uni-calabria	2016
spugnesi_giorgio	uni-pisa	2016
d-ambra_dario	fh-koeln	2016
feliciati_pierluigi	uni-macerata	2015
pagliarini_enrico	radio-24	2015
pinna_gabriela-maria	cnr	2015
frontini_francesca	cnr	2015
muggittu_vincenzo	liceo-classico-galileo-galilei	2015
testa_simone	eui	2015
de-santis_dario	uni-milano-bicocca	2015
potenziani_marco	cnr	2017
tomasi_lorenzo	uni-lausanne	2017
lo-duca_angelica	cnr	2017
traverso_ilaria	uni-madrid-autonoma	2017
viazzi_federica	library-beic	2017
battaner-moro_elena	uni-rey-juan-carlos	2024
bia-platas_alejandro	uni-miguel-hernandez	2020
jakacki_diane	uni-bucknell	2020
wrisley_david	uni-abu-dhabi-ny	2021
arnold_denis	ids	2021
fisseni_bernhard	ids	2021
tilton_lauren	uni-richmond	2021
chiodo_carol	library-uni-harvard	2021
ciotti_fabio	uni-roma-tor-vergata	2018
krefeld_thomas	uni-muenchen	2018
goebl_hans	uni-salzburg	2018
odebrecht_carolin	uni-hu-berlin	2015
garcia-fernandez_anne	uni-grenoble-alpes	2022
bohnert_celine	uni-reims	2022
bohnert_celine	iuf	2022
saint-raymond_lea	uni-paris-pantheon-sorbonne	2022
reach-ngo_anne	uni-haute-alsace	2022
reach-ngo_anne	iuf	2022
balmon_theodora	library-uni-corse	2022
piazza_linda	library-tommaso-trela	2022
gherardi_eugene	uni-corse	2021
nussbaumer_lisa	uni-wien	2023
linser_nora	uni-wien	2023
ensslin_astrid	uni-regensburg	2024
diecke_josephine	uni-zuerich	2024
kleymann_rabea	uni-chemnitz	2024
guhr_svenja	uni-darmstadt	2024
spoerer_mark	uni-regensburg	2024
fritz_larissa	uni-stuttgart	2024
afanador_maria-jose	uni-andes	2024
himmel_torsten	uni-stuttgart	2015
lehmann_christian	uni-stuttgart	2015
braun_manuel	uni-stuttgart	2015
kuhn_jonas	uni-stuttgart	2015
holtz_sabine	uni-stuttgart	2015
haka_andreas	uni-stuttgart	2015
leymann_frank	uni-stuttgart	2015
barzen_johanna	uni-koeln	2015
barzen_johanna	uni-stuttgart	2024
hentschel_klaus	uni-stuttgart	2015
krueger_reinhard	uni-stuttgart	2015
nickel_beatrice	uni-stuttgart	2015
stein_achim	uni-stuttgart	2015
trips_carola	uni-mannheim	2015
priewe_marc	uni-stuttgart	2015
wendel_klaus	uni-stuttgart	2016
pado_sebastian	uni-stuttgart	2024
falk_neele	uni-stuttgart	2025
bogdanovic_arsenije	uni-stuttgart	2025
pichler_axel	uni-stuttgart	2025
scholz_peter	uni-stuttgart	2016
koch_steffen	uni-stuttgart	2016
john_markus	uni-stuttgart	2016
willand_marcus	uni-stuttgart	2017
bross_fabian	uni-stuttgart	2017
mersiowsky_mark	uni-stuttgart	2017
gerstorfer_dominik	uni-stuttgart	2016
rainsford_thomas	uni-stuttgart	2016
bernhart_toni	uni-stuttgart	2016
echelmeyer_nora	uni-stuttgart	2016
pernes_stefan	uni-wuerzburg	2016
knopp_hartmut	uni-stuttgart	2018
rapp_andrea	uni-darmstadt	2018
kaminski_andreas	uni-stuttgart	2018
heckelen_malte	uni-stuttgart	2018
keck_jana	uni-stuttgart	2018
keck_jana	uni-salzburg	2020
kramski_heinz-werner	archive-dla-marbach	2018
maennig_maria	uni-marburg	2018
schmidt_johannes	uni-bielefeld	2019
draude_claude	uni-kassel	2019
mengaldo_elisabetta	uni-padova	2019
tumanov_rostislav	uni-stuttgart	2019
calvo-tello_jose	uni-wuerzburg	2019
heiberger_raphael	uni-stuttgart	2019
zeppezauer-wachauer_katharina	uni-salzburg	2020
hinkelmanns_peter	uni-salzburg	2020
hadersbeck_maximiliam	uni-muenchen	2020
ostberg_jan-peter	uni-stuttgart	2017
breitenbuecher_uwe	uni-stuttgart	2017
reimann_peter	uni-stuttgart	2017
fett_daniel	uni-stuttgart	2017
lischke_lars	uni-stuttgart	2017
duerr_frank	uni-stuttgart	2017
kopp_oliver	uni-stuttgart	2017
wieland_matthias	uni-stuttgart	2018
palumbo_valeria	rcs-media-group	2021
caselli_stefano	uni-malta	2021
bonera_matteo	the-visual-agency	2021
bonera_matteo	uni-milano-politecnico	2021
diamante_gugliemo	de-vulgare	2021
fantini_niccolo	de-vulgare	2021
cesaro_laura	sirius-game	2021
tavosanis_mirko	uni-pisa	2021
gnoli_claudio	uni-pavia	2015
roncaglia_gino	uni-tuscia	2015
mastandrea_paolo	uni-venezia	2015
marzi_claudia	cnr	2015
nahli_ouafae	cnr	2015
pirrelli_vito	cnr	2015
banterle_francesco	cnr	2015
brunelli_antonella	uni-bologna	2015
brigati_roberto	uni-bologna	2015
barbuti_roberto	uni-pisa	2015
meschini_federico	uni-tuscia	2015
evensen_nina-marie	uni-oslo	2021
martin-rodilla_patricia	uni-santiago-de-compostela	2018
stead_steve	self-employment	2018
grana-behrens_daniel	uni-bonn	2018
perry_sara	uni-york	2018
wickeroth_daniel	uni-koeln	2018
tambs_lena	uni-koeln	2018
herzog_irmela	abr	2018
vaupotic_ales	uni-novi-gorici	2018
marras_cristina	cnr	2018
cuy_sebastian	dai	2018
keith_allison	uni-stuttgart	2025
scholger_martina	uni-graz	2025
nilsson-fernandez_pedro	uni-cork	2025
rio-riande_gimena-del	conicet	2025
tomic_marijana	uni-zadar	2025
franken_lina	uni-vechta	2025
greinert_cordula	uni-rostock	2025
giovannini_luca	uni-potsdam	2025
fischer_hanna	uni-rostock	2025
verhoeven_deb	uni-alberta	2025
mannari_chiara	uni-pisa	2021
passarotti_marco	uni-cattolica-milano	2021
metilli_daniele	cnr	2021
metilli_daniele	uni-pisa	2021
metilli_daniele	uni-guelph	2024
gargano_giovanna	tourism-world-summit	2021
tambassi_timothy	uni-piemonte-orientale	2015
tambassi_timothy	uni-salerno	2021
salerno_giuseppe	uni-salerno	2021
d-urso_raffaella	uni-salerno	2021
bisogno_gianmarco	uni-salerno	2021
longo_alessandro	self-employment	2021
hageneuer_sebastian	uni-koeln	2021
sabatini_marina	uni-pisa	2021
bruni_sara	uni-pisa	2021
gioli_antonella	uni-pisa	2021
marasescu-galleron_ioana	uni-paris-sorbonne-nouvelle	2021
sebastiani_fabrizio	cnr	2021
tammaro_anna-maria	uni-parma	2014
genovese_giulia	websoup	2014
cignoni_giovanni	uni-pisa	2014
garzella_lorenzo	self-employment	2014
salvatori_nicoletta	cnr	2014
salvatori_nicoletta	uni-pisa	2021
angiolini_andrea	pandoracampus	2014
bartalesi_valentina	cnr	2014
cano_ricardo	eve-museos	2021
rubio-campillo_xavier	uni-barcelona	2021
ordono-daubagna_javier	arkikus	2021
horn_michael	uni-northwestern	2021
lopez-menchero_victor	uni-castilla-la-mancha	2020
collell_xevi	uni-girona	2020
melero-rus_francisco-javier	uni-granada	2020
marquis_nestor	self-employment	2020
hernandez-gueell_marc	la-tempesta	2020
gruber_doris	oeaw	2023
high-steskal_nicole	uni-krems	2022
mayer_sandra	uni-wien	2022
brenner_simon	uni-wien	2022
fruehwirth_timo	uni-wien	2022
moerth_karlheinz	oeaw	2020
trinks_immo	uni-wien	2020
koentges_thomas	uni-leipzig	2020
zuanni_chiara	uni-graz	2020
eichert_stefan	uni-wien	2021
prager_katharina	uni-wien	2021
frasca-rath_anna	uni-wien	2021
schlesinger_claus-michael	uni-wuerzburg	2019
viehhauser_gabriel	uni-stuttgart	2015
bockwinkel_peggy	uni-stuttgart	2016
luzi_christophe	uni-corse	2022
luzi_christophe	cnr	2022
walter_richard	cnrs	2021
walter_richard	uni-paris-sorbonne-nouvelle	2021
stular_benjamin	sazu	2020
romanov_maxim	uni-wien	2020
romanov_maxim	uni-hamburg	2022
cole_nicholas	uni-oxford	2019
hannesschlaeger_vanessa	oeaw	2019
hannesschlaeger_vanessa	uni-wien	2021
hughes_lorna	uni-glasgow	2019
de-sisto_mirella	uni-tilburg	2024
cremer_daniel	uni-duesseldorf	2024
verstegen_ute	uni-erlangen-nuernberg	2024
schelbert_georg	uni-hu-berlin	2018
schelbert_georg	zi-muenchen	2024
li_weixuan	uni-leiden	2024
kurz_susanne	uni-koeln	2024
ruiz-fabo_pablo	uni-strasbourg	2024
feichtinger_moritz	uni-basel	2024
spadini_elena	uni-basel	2024
spadini_elena	uni-bern	2024
weilinghof_andreas	uni-koblenz	2024
beisbart_claus	uni-bern	2024
kapitan_katarzyna-anna	uni-ecole-des-chartes	2024
bemelmans_sophie	uni-lausanne	2023
rochat_yannick	uni-lausanne	2023
demleitner_adrian	uni-bern	2023
brandenburg_aurelia	uni-bern	2023
wildi_tobias	fh-graubuenden	2023
krummenacher_dave	uni-lausanne	2023
krummenacher_dave	fh-zuerich	2023
hurel_pierre-yves	uni-lausanne	2023
maehr_moritz	uni-bern	2022
gasser_sonja	skkg	2022
toselli_alejandro-hector	uni-valencia	2022
jobin_anna	hiig	2022
serif_ina	uni-basel	2022
jaillant_lise	uni-loughborough	2022
marthot-santaniello_isabelle	uni-basel	2022
felsing_ulrike	uni-basel	2022
simi_maria	uni-pisa	2024
salvatori_enrica	uni-pisa	2014
bassett_caroline	uni-cambridge	2021
treharne_elaine	uni-stanford	2021
sanderson_rob	uni-yale	2021
fornaro_peter	uni-basel	2022
sutter_pascale	ssrq	2021
gubler_kaspar	uni-bern	2021
abel_stefan	uni-bern	2021
kohler_daniela	uni-bern	2021
metz_bernhard	uni-bern	2021
stuber_martin	uni-bern	2021
schmid_jimmy	uni-bern	2021
zimmermann_christian-von	uni-bern	2021
reichen_roland	uni-bern	2021
raciti_silvio	uni-bern	2021
zihlmann_patricia	uni-bern	2021
heinzmann_lukas	uni-bern	2021
schwarz-zanetti_gabriela	uni-bern	2021
fendt_kurt	mit	2021
nehrlich_thomas	uni-bern	2021
rosenthaler_lukas	uni-basel	2020
gabay_simon	uni-geneve	2022
schneider_christa	uni-bern	2020
grandjean_martin	uni-lausanne	2020
bell_peter	uni-erlangen-nuernberg	2020
schwandt_silke	uni-bielefeld	2020
feiner_leyla	uni-zuerich	2020
mcdonald_daniel	uni-zuerich	2020
dusinberre_martin	uni-zuerich	2020
leveghi_davide	history-lab-magazine	2024
manfredi_alice	history-lab-magazine	2024
varanini_francesco	self-employment	2014
lana_maurizio	uni-piemonte-orientale	2024
turbanti_simona	uni-pisa	2016
turbanti_simona	uni-milano	2024
sebastiani_melania	fili-di-juta	2024
aiola_chiara	netseven	2021
aiola_chiara	uni-pisa	2024
giuffrida_milena	uni-catania	2024
puglisi_alessandro	uni-stranieri-di-siena	2024
gorrieri_laura	uni-torino	2024
morent_stefan	uni-tuebingen	2023
darilek_marion	uni-tuebingen	2023
bauer_matthias	uni-tuebingen	2023
eufe_rembert	uni-tuebingen	2023
achimova_asya	uni-tuebingen	2023
koerner_kevin	uni-tuebingen	2023
goerss_eleanor	uni-tuebingen	2023
worm_andrea	uni-tuebingen	2023
bleier_roman	uni-graz	2023
wust_markus	uni-tuebingen	2023
patzold_steffen	uni-tuebingen	2023
zirker_angelika	uni-tuebingen	2023
schwabe_fabian	uni-tuebingen	2023
weimann_hanna	uni-stuttgart	2024
desmet_gabrielle	uni-lille	2025
ondraszek_sarah-rebecca	fiz-karlsruhe	2025
untner_laura	uni-fu-berlin	2024
rehse_birgit	uni-fu-berlin	2024
rehse_birgit	archive-fu-berlin	2024
hercher_johannes	uni-fu-berlin	2024
hercher_johannes	library-uni-fu-berlin	2024
falk_michael	uni-melbourne	2024
harris_ashleigh	uni-uppsala	2024
schwindt_mark	uni-fu-berlin	2024
schulz_konstantin	uni-hu-berlin	2024
beyer_andrea	uni-hu-berlin	2024
wolle_nikolai	uni-regensburg	2023
hiergeist_annalena	uni-regensburg	2023
gruenler_johanna	uni-regensburg	2023
murath_antonia	uni-fu-berlin	2023
panuskova_charlotte	uni-karlova	2024
hilger_agnes	uni-wuerzburg	2023
chemello_marco	uni-padova	2022
mazzini_federico	uni-padova	2022
novello_elisabetta	uni-padova	2021
zilio_daniel	uni-padova	2021
bernardi_teresa	uni-padova	2021
elice_martina	uni-padova	2021
orlandi_marco	uni-padova	2021
xie_shi	uni-sun-yat-sen	2021
ferrarese_francesco	uni-padova	2021
di-donato_francesca	self-employment	2014
d-altan_paolo	self-employment	2014
d-angelo_fabrizio	uni-roma-tre	2014
rossi_paolo	uni-pisa	2014
rosselli-del-turco_roberto	uni-pisa	2014
paterno_fabio	cnr	2014
venerandi_fabrizio	self-employment	2014
zanzotto_fabio-massimo	uni-roma-tor-vergata	2014
schaefer_lea	uni-marburg	2023
lubin_jonah	uni-fu-berlin	2023
chen_beijia	uni-fu-berlin	2023
poggel_lisa	uni-fu-berlin	2023
rodighiero_dario	uni-groningen	2023
iurescia_federica	uni-cattolica-milano	2023
parisi_maria-chiara	uni-amsterdam	2023
sprugnoli_rachele	uni-parma	2023
pence_charles	uni-leuven	2022
lang_sarah	uni-graz	2022
noichl_maximilian	uni-bamberg	2022
noichl_maximilian	uni-wien	2022
wontorra_lena	uni-fu-berlin	2022
wontorra_lena	ntm-mannheim	2022
duan_tinghui	uni-jena	2022
herbst_benjamin	uni-bern	2022
gutierrez_silvia	uni-leipzig	2022
mischke_dennis	uni-fu-berlin	2023
hessbrueggen-walter_stefan	uni-bochum	2023
hessbrueggen-walter_stefan	uni-moskau	2022
orekhov_boris	uni-moskau	2022
cakir_dilan-canan	uni-stuttgart	2022
cakir_dilan-canan	archive-dla-marbach	2022
escobar-varela_miguel	uni-singapore	2021
strasser_marc	usb	2024
akarcay_guenhan	museum-snm	2024
maget-dominice_antoinette	uni-geneve	2024
melone_mirco	museum-hmb	2024
himmelsbach_sabine	museum-hek	2024
jaquet_daniel	uni-epfl-lausanne	2024
katz_brian	uni-paris-sorbonne	2024
jehle_bruno	bj-institute	2023
zimmermann_dorothea	library-eth	2023
sibille_christiane	library-eth	2023
stoffel_isabelle	self-employment	2023
taes_sofie	uni-leuven	2023
dufaux_alain	uni-epfl-lausanne	2023
gries_christian	museum-lmw	2023
peacock_vita	uni-london-kcl	2022
bruun_mikkel-kenni	uni-london-kcl	2022
devlin_kate	uni-london-kcl	2022
bunz_mercedes	uni-london-kcl	2022
chavez-heras_daniel	uni-london-kcl	2022
roueche_charlotte	uni-london-kcl	2019
meghini_carlo	cnr	2018
bruegger_niels	uni-aarhus	2017
drucker_johanna	uni-la-california	2016
hockey_susan	uni-london-ucl	2015
luis-bueren_jose	library-bne	2021
fontal-merillas_olaia	uni-valladolid	2021
corff_oliver	unknown	2024
lehmberg_timm	adw-hamburg	2024
reul_christian	uni-wuerzburg	2024
marx_konstanze	uni-greifswald	2024
gloning_thomas	uni-giessen	2024
gloning_thomas	bbaw	2024
lemnitzer_lothar	bbaw	2024
barbaresi_adrien	bbaw	2023
schneider_roman	ids	2023
nolda_andreas	bbaw	2023
kupietz_marc	ids	2023
diewald_nils	ids	2023
meyer-hinrichs_kerstin	adw-goettingen	2023
mederake_nathalie	adw-goettingen	2023
harm_volker	adw-goettingen	2023
dorn_nico	adw-goettingen	2023
hug_marius	bbaw	2023
boenig_matthias	bbaw	2023
vogeler_andreas	legacy-page	2023
helbig_holger	uni-rostock	2023
hamster_ulf	bbaw	2023
henzel_katrin	uni-kiel	2023
schulte-im-walde_sabine	uni-stuttgart	2023
biemann_chris	uni-hamburg	2023
arnold_frederik	uni-hu-berlin	2022
fiechter_benjamin	uni-hu-berlin	2022
jaeschke_robert	uni-hu-berlin	2022
martus_steffen	uni-hu-berlin	2022
zinsmeister_heike	uni-hamburg	2022
muehlberger_guenter	uni-innsbruck	2022
piotrowski_michael	uni-lausanne	2022
georgi_christopher	uni-paderborn	2021
kirsten_linda	bbaw	2021
kirsten_linda	uni-paderborn	2021
thielert_frauke	uni-paderborn	2021
klappenbach_lou	bbaw	2021
schnoepf_markus	bbaw	2021
wilk_nicole-marianne	uni-paderborn	2021
schulz_daniela	bbaw	2021
stockhausen_annette-von	bbaw	2021
kaiser_maximilian	oeaw	2021
schloegl_matthias	oeaw	2021
kurz_stephan	oeaw	2021
klemstein_franziska	uni-weimar	2020
brunner_annelen	ids	2020
naji_julia	bbaw	2020
geyken_alexander	bbaw	2020
rojas-castro_antonio	uni-tuebingen	2025
